year	month	day	rock	scissors	paper
1995	12	17	0	0	1
1995	12	24	0	1	0
1995	12	31	0	0	1
1996	01	07	0	1	0
1996	01	14	1	0	0
1996	01	21	1	0	0
1996	01	28	0	0	1
1996	02	04	0	1	0
1996	02	11	0	0	1
1996	02	18	0	0	1
1996	02	25	1	0	0
1996	03	03	0	1	0
1996	03	10	0	1	0
1996	03	17	1	0	0
1996	03	24	0	0	1
1996	03	31	1	0	0
1996	04	07	0	1	0
1996	04	14	0	0	1
1996	04	21	0	0	1
1996	04	28	0	1	0
1996	05	05	1	0	0
1996	05	12	1	0	0
1996	05	19	0	1	0
1996	05	26	0	0	1
1996	06	02	0	1	0
1996	06	09	0	0	1
1996	06	16	1	0	0
1996	06	23	0	1	0
1996	06	30	1	0	0
1996	07	07	0	1	0
1996	07	14	0	1	0
1996	07	21	0	0	1
1996	07	28	1	0	0
1996	08	04	0	0	1
1996	08	11	0	0	1
1996	08	18	0	1	0
1996	08	25	0	1	0
1996	09	01	1	0	0
1996	09	08	0	0	1
1996	09	15	1	0	0
1996	09	22	1	0	0
1996	09	29	0	1	0
1996	10	06	0	0	0
1996	10	13	0	0	1
1996	10	20	0	0	0
1996	10	27	0	1	0
1996	11	03	1	0	0
1996	11	10	1	0	0
1996	11	17	0	0	1
1996	11	24	0	1	0
1996	12	01	0	0	1
1996	12	08	0	0	1
1996	12	15	1	0	0
1996	12	22	1	0	0
1996	12	29	0	1	0
1997	01	05	0	1	0
1997	01	12	1	0	0
1997	01	19	0	0	1
1997	01	26	0	1	0
1997	02	02	0	0	1
1997	02	09	1	0	0
1997	02	16	0	0	1
1997	02	23	0	1	0
1997	03	02	1	0	0
1997	03	09	0	1	0
1997	03	16	1	0	0
1997	03	23	0	0	1
1997	03	30	0	0	1
1997	04	06	0	1	0
1997	04	13	1	0	0
1997	04	20	0	1	0
1997	04	27	0	0	1
1997	05	04	0	0	1
1997	05	11	1	0	0
1997	05	18	0	1	0
1997	05	25	0	0	1
1997	06	01	0	1	0
1997	06	08	1	0	0
1997	06	15	1	0	0
1997	06	22	0	0	1
1997	06	29	0	1	0
1997	07	06	0	1	0
1997	07	13	1	0	0
1997	07	20	0	0	1
1997	07	27	0	0	0
1997	08	03	1	0	0
1997	08	10	0	1	0
1997	08	17	1	0	0
1997	08	24	0	0	1
1997	08	31	0	0	1
1997	09	07	0	1	0
1997	09	14	1	0	0
1997	09	21	0	1	0
1997	09	28	0	0	1
1997	10	05	0	1	0
1997	10	12	0	1	0
1997	10	19	1	0	0
1997	10	26	0	0	1
1997	11	02	0	1	0
1997	11	09	1	0	0
1997	11	16	0	1	0
1997	11	23	0	0	1
1997	11	30	1	0	0
1997	12	07	1	0	0
1997	12	14	0	0	1
1997	12	21	0	1	0
1997	12	28	0	0	1
1998	01	04	0	1	0
1998	01	11	1	0	0
1998	01	18	0	0	1
1998	01	25	0	0	1
1998	02	01	1	0	0
1998	02	08	0	1	0
1998	02	15	0	1	0
1998	02	22	1	0	0
1998	03	01	0	0	1
1998	03	08	0	0	1
1998	03	15	0	1	0
1998	03	22	1	0	0
1998	03	29	0	0	1
1998	04	05	0	1	0
1998	04	12	0	1	0
1998	04	19	1	0	0
1998	04	26	0	0	1
1998	05	03	0	1	0
1998	05	10	0	0	1
1998	05	17	1	0	0
1998	05	24	1	0	0
1998	05	31	0	1	0
1998	06	07	0	0	1
1998	06	14	0	1	0
1998	06	21	1	0	0
1998	06	28	0	0	1
1998	07	05	0	1	0
1998	07	12	0	0	1
1998	07	19	0	1	0
1998	07	26	1	0	0
1998	08	02	1	0	0
1998	08	09	0	0	1
1998	08	16	0	1	0
1998	08	23	0	0	1
1998	08	30	1	0	0
1998	09	06	0	1	0
1998	09	13	0	0	1
1998	09	20	0	0	1
1998	09	27	0	1	0
1998	10	04	0	1	0
1998	10	11	1	0	0
1998	10	18	0	0	1
1998	10	25	0	1	0
1998	11	01	0	0	1
1998	11	08	1	0	0
1998	11	15	1	0	0
1998	11	22	0	1	0
1998	11	29	0	0	1
1998	12	06	0	1	0
1998	12	13	0	0	1
1998	12	20	1	0	0
1998	12	27	0	0	1
1999	01	03	0	0	0
1999	01	10	0	1	0
1999	01	17	0	1	0
1999	01	24	1	0	0
1999	01	31	0	0	1
1999	02	07	1	0	0
1999	02	14	0	1	0
1999	02	21	0	0	1
1999	02	28	0	1	0
1999	03	07	1	0	0
1999	03	14	1	0	0
1999	03	21	0	0	1
1999	03	28	0	1	0
1999	04	04	1	0	0
1999	04	11	0	1	0
1999	04	18	1	0	0
1999	04	25	1	0	0
1999	05	02	0	0	1
1999	05	09	0	0	1
1999	05	16	0	1	0
1999	05	23	1	0	0
1999	05	30	0	0	1
1999	06	06	1	0	0
1999	06	13	0	1	0
1999	06	20	1	0	0
1999	06	27	0	0	1
1999	07	04	0	0	1
1999	07	11	0	0	1
1999	07	18	0	1	0
1999	07	25	1	0	0
1999	08	01	0	0	1
1999	08	08	0	1	0
1999	08	15	1	0	0
1999	08	22	0	1	0
1999	08	29	0	1	0
1999	09	05	0	1	0
1999	09	12	0	0	1
1999	09	19	1	0	0
1999	09	26	1	0	0
1999	10	03	0	0	1
1999	10	10	1	0	0
1999	10	17	0	0	1
1999	10	31	0	1	0
1999	11	07	0	1	0
1999	11	14	0	0	1
1999	11	21	0	0	1
1999	11	28	1	0	0
1999	12	05	0	1	0
1999	12	12	1	0	0
1999	12	19	1	0	0
1999	12	26	0	0	0
2000	01	02	0	0	0
2000	01	09	0	1	0
2000	01	16	0	0	0
2000	01	23	0	0	1
2000	01	30	1	0	0
2000	02	06	1	0	0
2000	02	13	0	1	0
2000	02	20	0	0	1
2000	02	27	0	0	1
2000	03	05	1	0	0
2000	03	12	0	1	0
2000	03	19	0	0	1
2000	03	26	1	0	0
2000	04	02	0	1	0
2000	04	09	0	1	0
2000	04	16	1	0	0
2000	04	23	0	1	0
2000	04	30	0	0	1
2000	05	07	1	0	0
2000	05	14	0	1	0
2000	05	21	1	0	0
2000	05	28	1	0	0
2000	06	04	0	1	0
2000	06	11	0	0	1
2000	06	18	1	0	0
2000	06	25	0	1	0
2000	07	02	0	1	0
2000	07	09	0	1	0
2000	07	16	0	0	1
2000	07	23	0	0	1
2000	07	30	0	1	0
2000	08	06	0	1	0
2000	08	13	0	0	1
2000	08	20	1	0	0
2000	08	27	0	0	1
2000	09	03	1	0	0
2000	09	10	0	1	0
2000	09	17	0	1	0
2000	09	24	0	0	1
2000	10	01	0	0	1
2000	10	08	1	0	0
2000	10	15	1	0	0
2000	10	22	0	0	1
2000	10	29	0	1	0
2000	11	05	0	1	0
2000	11	12	0	0	1
2000	11	19	0	1	0
2000	11	26	0	0	1
2000	12	03	1	0	0
2000	12	10	0	0	1
2000	12	17	0	1	0
2000	12	24	0	1	0
2000	12	31	0	0	1
2001	01	07	0	1	0
2001	01	14	0	0	1
2001	01	21	1	0	0
2001	01	28	1	0	0
2001	02	04	0	1	0
2001	02	11	0	1	0
2001	02	18	0	1	0
2001	02	25	1	0	0
2001	03	04	0	1	0
2001	03	11	0	0	1
2001	03	18	0	1	0
2001	03	25	1	0	0
2001	04	01	0	1	0
2001	04	08	0	0	1
2001	04	15	1	0	0
2001	04	22	1	0	0
2001	04	29	0	0	1
2001	05	06	0	1	0
2001	05	13	0	0	1
2001	05	20	1	0	0
2001	05	27	0	0	1
2001	06	03	1	0	0
2001	06	10	1	0	0
2001	06	17	0	1	0
2001	06	24	0	1	0
2001	07	01	0	0	1
2001	07	08	1	0	0
2001	07	15	0	0	1
2001	07	22	0	1	0
2001	07	29	0	0	1
2001	08	05	0	1	0
2001	08	12	1	0	0
2001	08	19	1	0	0
2001	08	26	0	0	1
2001	09	02	0	1	0
2001	09	09	0	0	1
2001	09	16	0	0	1
2001	09	23	0	1	0
2001	09	30	0	0	0
2001	10	07	0	1	0
2001	10	14	1	0	0
2001	10	21	0	1	0
2001	10	28	0	0	1
2001	11	04	0	1	0
2001	11	11	1	0	0
2001	11	18	1	0	0
2001	11	25	0	0	1
2001	12	02	0	1	0
2001	12	09	0	0	1
2001	12	16	0	1	0
2001	12	23	1	0	0
2001	12	30	0	0	1
2002	01	06	0	1	0
2002	01	13	0	1	0
2002	01	20	0	0	0
2002	01	27	0	0	1
2002	02	03	1	0	0
2002	02	10	0	1	0
2002	02	17	0	0	1
2002	02	24	1	0	0
2002	03	03	1	0	0
2002	03	10	0	1	0
2002	03	17	1	0	0
2002	03	24	0	0	1
2002	03	31	1	0	0
2002	04	07	0	1	0
2002	04	14	0	1	0
2002	04	21	1	0	0
2002	04	28	0	0	1
2002	05	05	0	1	0
2002	05	12	0	0	1
2002	05	19	1	0	0
2002	05	26	0	1	0
2002	06	02	0	1	0
2002	06	09	0	0	1
2002	06	16	1	0	0
2002	06	23	0	1	0
2002	06	30	0	0	1
2002	07	07	0	1	0
2002	07	14	0	1	0
2002	07	21	1	0	0
2002	07	28	0	0	1
2002	08	04	0	1	0
2002	08	11	1	0	0
2002	08	18	1	0	0
2002	08	25	0	0	1
2002	09	01	1	0	0
2002	09	08	0	1	0
2002	09	15	1	0	0
2002	09	22	1	0	0
2002	09	29	0	0	0
2002	10	06	0	1	0
2002	10	13	0	1	0
2002	10	20	0	0	1
2002	10	27	1	0	0
2002	11	03	1	0	0
2002	11	10	0	1	0
2002	11	17	0	0	1
2002	11	24	1	0	0
2002	12	01	0	1	0
2002	12	08	0	0	1
2002	12	15	0	0	1
2002	12	22	1	0	0
2002	12	29	0	1	0
2003	01	05	0	1	0
2003	01	12	0	0	0
2003	01	19	0	0	1
2003	01	26	1	0	0
2003	02	02	0	0	1
2003	02	09	0	1	0
2003	02	16	0	0	1
2003	02	23	0	1	0
2003	03	02	1	0	0
2003	03	09	0	0	1
2003	03	16	0	1	0
2003	03	23	0	1	0
2003	03	30	1	0	0
2003	04	06	0	1	0
2003	04	13	0	1	0
2003	04	20	0	0	1
2003	04	27	0	0	1
2003	05	04	1	0	0
2003	05	11	1	0	0
2003	05	18	1	0	0
2003	05	25	0	1	0
2003	06	01	0	0	1
2003	06	08	0	1	0
2003	06	15	0	0	1
2003	06	22	0	0	1
2003	06	29	1	0	0
2003	07	06	0	1	0
2003	07	13	1	0	0
2003	07	20	0	0	1
2003	07	27	0	0	1
2003	08	03	0	1	0
2003	08	10	0	0	1
2003	08	17	0	0	1
2003	08	24	0	0	1
2003	08	31	0	1	0
2003	09	07	1	0	0
2003	09	14	1	0	0
2003	09	21	1	0	0
2003	09	28	0	0	1
2003	10	05	0	1	0
2003	10	12	1	0	0
2003	10	19	0	0	1
2003	10	26	0	0	1
2003	11	02	0	1	0
2003	11	09	0	1	0
2003	11	16	0	0	0
2003	11	23	1	0	0
2003	11	30	0	1	0
2003	12	07	0	0	1
2003	12	14	0	0	1
2003	12	21	1	0	0
2003	12	28	0	0	1
2004	01	04	0	1	0
2004	01	11	0	1	0
2004	01	18	0	0	1
2004	01	25	0	0	1
2004	02	01	0	1	0
2004	02	08	1	0	0
2004	02	15	0	1	0
2004	02	22	1	0	0
2004	02	29	1	0	0
2004	03	07	0	0	1
2004	03	14	0	0	1
2004	03	21	0	1	0
2004	03	28	0	0	1
2004	04	04	0	1	0
2004	04	11	0	1	0
2004	04	18	1	0	0
2004	04	25	0	0	1
2004	05	02	1	0	0
2004	05	09	0	1	0
2004	05	16	0	0	1
2004	05	23	1	0	0
2004	05	30	1	0	0
2004	06	06	0	1	0
2004	06	13	0	0	1
2004	06	20	1	0	0
2004	06	27	0	0	1
2004	07	04	0	1	0
2004	07	11	0	0	1
2004	07	18	0	0	1
2004	07	25	0	1	0
2004	08	01	1	0	0
2004	08	08	0	0	1
2004	08	15	0	0	0
2004	08	22	1	0	0
2004	08	29	1	0	0
2004	09	05	0	1	0
2004	09	12	0	0	1
2004	09	19	1	0	0
2004	09	26	1	0	0
2004	10	03	0	1	0
2004	10	10	0	1	0
2004	10	17	0	0	0
2004	10	24	0	0	0
2004	10	31	0	0	1
2004	11	07	1	0	0
2004	11	14	1	0	0
2004	11	21	1	0	0
2004	11	28	1	0	0
2004	12	05	0	1	0
2004	12	12	0	0	1
2004	12	19	0	1	0
2004	12	26	1	0	0
2005	01	02	0	0	0
2005	01	09	0	0	0
2005	01	16	0	1	0
2005	01	23	0	0	1
2005	01	30	0	0	1
2005	02	06	0	1	0
2005	02	13	0	0	1
2005	02	20	1	0	0
2005	02	27	1	0	0
2005	03	06	0	0	1
2005	03	13	0	1	0
2005	03	20	0	0	1
2005	03	27	0	1	0
2005	04	03	0	1	0
2005	04	10	1	0	0
2005	04	17	0	0	1
2005	04	24	1	0	0
2005	05	01	0	1	0
2005	05	08	0	1	0
2005	05	15	1	0	0
2005	05	22	0	0	1
2005	05	29	0	0	1
2005	06	05	0	0	1
2005	06	12	1	0	0
2005	06	19	0	1	0
2005	06	26	1	0	0
2005	07	03	0	1	0
2005	07	10	1	0	0
2005	07	17	0	0	1
2005	07	24	0	1	0
2005	07	31	0	1	0
2005	08	07	0	0	1
2005	08	14	0	1	0
2005	08	21	0	1	0
2005	08	28	1	0	0
2005	09	04	1	0	0
2005	09	11	0	1	0
2005	09	18	0	0	1
2005	09	25	0	0	0
2005	10	02	0	1	0
2005	10	09	1	0	0
2005	10	16	0	0	1
2005	10	23	0	1	0
2005	10	30	1	0	0
2005	11	06	0	0	1
2005	11	13	0	1	0
2005	11	20	0	0	1
2005	11	27	0	0	1
2005	12	04	1	0	0
2005	12	11	1	0	0
2005	12	18	0	1	0
2005	12	25	0	0	1
2006	01	01	0	0	0
2006	01	08	0	1	0
2006	01	15	0	1	0
2006	01	22	1	0	0
2006	01	29	0	0	1
2006	02	05	0	1	0
2006	02	12	0	0	0
2006	02	19	0	0	1
2006	02	26	1	0	0
2006	03	05	1	0	0
2006	03	12	1	0	0
2006	03	19	0	1	0
2006	03	26	0	0	1
2006	04	02	0	1	0
2006	04	09	0	0	1
2006	04	16	1	0	0
2006	04	23	0	0	1
2006	04	30	0	1	0
2006	05	07	0	0	1
2006	05	14	0	0	1
2006	05	21	0	1	0
2006	05	28	1	0	0
2006	06	04	0	1	0
2006	06	11	0	0	1
2006	06	18	0	0	1
2006	06	25	1	0	0
2006	07	02	0	1	0
2006	07	09	1	0	0
2006	07	16	0	1	0
2006	07	23	0	0	1
2006	07	30	0	1	0
2006	08	06	0	1	0
2006	08	13	0	0	1
2006	08	20	1	0	0
2006	08	27	0	0	1
2006	09	03	0	1	0
2006	09	10	0	0	1
2006	09	17	0	1	0
2006	09	24	0	1	0
2006	10	01	1	0	0
2006	10	08	0	0	1
2006	10	15	0	0	1
2006	10	22	0	0	0
2006	10	29	1	0	0
2006	11	05	0	1	0
2006	11	12	1	0	0
2006	11	19	0	0	1
2006	11	26	1	0	0
2006	12	03	0	1	0
2006	12	10	1	0	0
2006	12	17	1	0	0
2006	12	24	0	0	1
2006	12	31	0	1	0
2007	01	07	0	1	0
2007	01	14	0	0	1
2007	01	21	1	0	0
2007	01	28	1	0	0
2007	02	04	0	1	0
2007	02	11	1	0	0
2007	02	18	0	1	0
2007	02	25	0	0	1
2007	03	04	0	1	0
2007	03	11	0	1	0
2007	03	18	1	0	0
2007	03	25	1	0	0
2007	04	01	0	1	0
2007	04	08	1	0	0
2007	04	15	0	0	1
2007	04	22	0	0	1
2007	04	29	0	1	0
2007	05	06	1	0	0
2007	05	13	1	0	0
2007	05	20	0	0	1
2007	05	27	0	0	1
2007	06	03	1	0	0
2007	06	10	0	1	0
2007	06	17	0	1	0
2007	06	24	1	0	0
2007	07	01	0	0	1
2007	07	08	1	0	0
2007	07	15	1	0	0
2007	07	22	0	1	0
2007	07	29	0	1	0
2007	08	05	0	0	1
2007	08	12	0	0	1
2007	08	19	0	1	0
2007	08	26	1	0	0
2007	09	02	0	0	1
2007	09	09	1	0	0
2007	09	16	0	1	0
2007	09	23	0	0	1
2007	09	30	0	1	0
2007	10	07	1	0	0
2007	10	14	1	0	0
2007	10	21	0	1	0
2007	10	28	0	0	1
2007	11	04	0	1	0
2007	11	11	0	0	1
2007	11	18	1	0	0
2007	11	25	0	0	1
2007	12	02	0	1	0
2007	12	09	0	1	0
2007	12	16	1	0	0
2007	12	23	1	0	0
2007	12	30	0	0	0
2008	01	06	0	1	0
2008	01	13	0	0	1
2008	01	20	0	1	0
2008	01	27	1	0	0
2008	02	03	0	0	1
2008	02	10	0	1	0
2008	02	17	0	0	1
2008	02	24	0	1	0
2008	03	02	1	0	0
2008	03	09	0	0	1
2008	03	16	0	1	0
2008	03	23	0	0	1
2008	03	30	1	0	0
2008	04	06	1	0	0
2008	04	13	0	0	1
2008	04	20	0	1	0
2008	04	27	0	1	0
2008	05	04	1	0	0
2008	05	11	0	0	1
2008	05	18	0	1	0
2008	05	25	0	0	1
2008	06	01	0	1	0
2008	06	08	1	0	0
2008	06	15	0	1	0
2008	06	22	1	0	0
2008	06	29	0	0	1
2008	07	06	0	1	0
2008	07	13	1	0	0
2008	07	20	0	1	0
2008	07	27	0	0	1
2008	08	03	0	1	0
2008	08	10	0	0	0
2008	08	17	1	0	0
2008	08	24	0	0	1
2008	08	31	0	1	0
2008	09	07	1	0	0
2008	09	14	0	1	0
2008	09	21	0	0	1
2008	09	28	1	0	0
2008	10	05	0	1	0
2008	10	12	1	0	0
2008	10	19	0	0	1
2008	10	26	0	0	1
2008	11	02	0	1	0
2008	11	09	0	1	0
2008	11	16	0	1	0
2008	11	23	0	0	1
2008	11	30	0	1	0
2008	12	07	1	0	0
2008	12	14	0	1	0
2008	12	21	0	0	1
2008	12	28	1	0	0
2009	01	04	0	1	0
2009	01	11	0	1	0
2009	01	18	0	0	1
2009	01	25	0	0	1
2009	02	01	1	0	0
2009	02	08	0	1	0
2009	02	15	1	0	0
2009	02	22	0	1	0
2009	03	01	0	0	1
2009	03	08	0	0	1
2009	03	15	1	0	0
2009	03	22	0	0	0
2009	03	29	1	0	0
2009	04	05	0	1	0
2009	04	12	0	0	1
2009	04	19	1	0	0
2009	04	26	0	0	1
2009	05	03	0	0	1
2009	05	10	0	1	0
2009	05	17	1	0	0
2009	05	24	0	1	0
2009	05	31	0	0	1
2009	06	07	1	0	0
2009	06	14	1	0	0
2009	06	21	0	1	0
2009	06	28	0	0	1
2009	07	05	0	1	0
2009	07	12	0	0	1
2009	07	19	1	0	0
2009	07	26	0	1	0
2009	08	02	0	0	1
2009	08	09	1	0	0
2009	08	16	0	0	1
2009	08	23	0	0	1
2009	08	30	0	1	0
2009	09	06	1	0	0
2009	09	13	0	1	0
2009	09	20	0	0	1
2009	09	27	1	0	0
2009	10	04	0	1	0
2009	10	11	0	1	0
2009	10	18	0	0	1
2009	10	25	1	0	0
2009	11	01	0	0	0
2009	11	08	0	1	0
2009	11	15	0	0	0
2009	11	22	0	0	1
2009	11	29	0	0	1
2009	12	06	1	0	0
2009	12	13	1	0	0
2009	12	20	0	1	0
2009	12	27	0	0	1
2010	01	03	0	0	0
2010	01	10	0	1	0
2010	01	17	1	0	0
2010	01	24	0	0	1
2010	01	31	0	0	0
2010	02	07	0	1	0
2010	02	14	1	0	0
2010	02	21	0	0	1
2010	02	28	0	0	1
2010	03	07	1	0	0
2010	03	14	0	1	0
2010	03	21	0	1	0
2010	03	28	0	0	1
2010	04	04	1	0	0
2010	04	11	1	0	0
2010	04	18	0	1	0
2010	04	25	0	0	1
2010	05	02	0	1	0
2010	05	09	0	0	1
2010	05	16	1	0	0
2010	05	23	0	0	1
2010	05	30	1	0	0
2010	06	06	0	1	0
2010	06	13	1	0	0
2010	06	20	0	1	0
2010	06	27	0	0	1
2010	07	04	0	1	0
2010	07	11	1	0	0
2010	07	18	0	0	1
2010	07	25	0	1	0
2010	08	01	0	0	1
2010	08	08	0	0	0
2010	08	15	1	0	0
2010	08	22	0	0	1
2010	08	29	0	1	0
2010	09	05	0	0	0
2010	09	12	1	0	0
2010	09	19	1	0	0
2010	09	26	0	0	1
2010	10	03	0	1	0
2010	10	10	0	0	1
2010	10	17	0	0	1
2010	10	24	1	0	0
2010	10	31	0	1	0
2010	11	07	0	0	0
2010	11	14	0	1	0
2010	11	21	0	0	1
2010	11	28	1	0	0
2010	12	05	1	0	0
2010	12	12	0	1	0
2010	12	19	0	0	1
2010	12	26	0	0	1
2011	01	02	0	0	0
2011	01	09	1	0	0
2011	01	16	0	0	1
2011	01	23	0	0	1
2011	01	30	1	0	0
2011	02	06	0	1	0
2011	02	13	1	0	0
2011	02	20	0	0	1
2011	02	27	0	1	0
2011	03	06	1	0	0
2011	03	13	0	0	0
2011	03	20	0	0	1
2011	03	27	1	0	0
2011	04	03	0	1	0
2011	04	10	0	1	0
2011	04	17	0	0	1
2011	04	24	1	0	0
2011	05	01	0	1	0
2011	05	08	0	0	1
2011	05	15	0	0	1
2011	05	22	1	0	0
2011	05	29	1	0	0
2011	06	05	0	1	0
2011	06	12	0	0	1
2011	06	19	0	0	1
2011	06	26	1	0	0
2011	07	03	0	1	0
2011	07	10	1	0	0
2011	07	17	0	0	1
2011	07	24	0	1	0
2011	07	31	1	0	0
2011	08	07	0	1	0
2011	08	14	1	0	0
2011	08	21	0	0	1
2011	08	28	0	0	1
2011	09	04	0	1	0
2011	09	11	1	0	0
2011	09	18	0	0	1
2011	09	25	1	0	0
2011	10	02	0	1	0
2011	10	09	1	0	0
2011	10	16	0	1	0
2011	10	23	0	0	1
2011	10	30	1	0	0
2011	11	06	1	0	0
2011	11	13	0	1	0
2011	11	20	0	0	1
2011	11	27	0	0	1
2011	12	04	0	1	0
2011	12	11	1	0	0
2011	12	18	0	0	1
2011	12	25	0	0	1
2012	01	01	0	0	0
2012	01	08	0	1	0
2012	01	15	1	0	0
2012	01	22	1	0	0
2012	01	29	0	1	0
2012	02	05	0	0	1
2012	02	12	0	0	0
2012	02	19	0	0	1
2012	02	26	1	0	0
2012	03	04	0	1	0
2012	03	11	1	0	0
2012	03	18	0	0	1
2012	03	25	0	0	1
2012	04	01	0	1	0
2012	04	08	1	0	0
2012	04	15	0	0	1
2012	04	22	0	0	1
2012	04	29	0	1	0
2012	05	06	1	0	0
2012	05	13	0	1	0
2012	05	20	0	0	1
2012	05	27	1	0	0
