	gender	age	annual_income	hobby	bought_product_category
251	1	55	1410	5	6
252	0	24	600	4	6
253	1	76	800	1	5
254	0	41	800	1	4
255	0	59	1300	4	2
256	1	85	790	6	3
257	1	81	1260	3	4
258	1	33	1430	0	3
259	0	76	930	1	3
260	0	43	560	2	5
261	1	27	1270	0	3
262	1	86	1310	5	0
263	0	67	560	2	5
264	1	67	880	4	5
265	0	87	410	0	3
266	0	30	1310	7	6
267	0	88	240	5	7
268	1	23	1410	4	6
269	0	23	1090	3	6
270	1	45	1160	1	3
271	1	73	1120	8	2
272	0	22	160	9	5
273	1	83	820	1	3
274	1	49	190	3	1
275	0	89	410	2	4
276	1	70	1160	2	5
277	1	66	670	3	4
278	1	51	1110	8	3
279	0	33	260	0	0
280	1	78	1080	8	6
281	0	63	1380	0	0
282	1	31	820	4	6
283	1	67	1480	1	6
284	0	63	250	4	6
285	0	20	890	9	3
286	0	68	310	9	4
287	0	78	420	1	7
288	1	66	680	6	4
289	1	71	1360	1	3
290	0	48	1300	5	3
291	1	55	620	1	2
292	0	18	1170	7	2
293	1	22	510	9	5
294	1	33	270	4	3
295	1	23	200	3	1
296	1	59	240	9	6
297	0	85	1240	0	3
298	0	34	960	1	6
299	1	18	620	0	3
300	1	73	780	5	1
301	0	23	570	5	6
302	0	36	190	2	5
303	1	53	850	5	2
304	1	20	400	0	6
305	0	18	1480	2	4
306	1	48	450	8	4
307	0	78	800	2	5
308	0	73	690	0	5
309	0	29	450	0	1
310	0	45	1120	4	6
311	1	21	1310	5	0
312	0	82	1360	2	5
313	1	30	960	7	2
314	1	18	820	7	2
315	1	38	980	8	5
316	0	63	840	9	4
317	0	73	250	0	5
318	0	89	420	0	4
319	1	21	1130	4	6
320	1	61	490	0	3
321	0	88	1300	1	7
322	0	82	570	8	2
323	1	66	1030	2	6
324	0	55	530	4	6
325	1	32	740	5	7
326	1	28	1270	2	6
327	0	77	520	6	4
328	1	29	1450	1	3
329	1	20	780	4	6
330	1	55	1180	1	3
331	0	35	460	0	4
332	1	59	760	2	6
333	1	27	1300	4	6
334	1	67	600	7	3
335	0	57	670	1	3
336	0	66	200	0	4
337	0	22	1310	4	6
338	1	29	690	9	3
339	0	75	1080	4	3
340	1	59	1150	0	6
341	0	77	940	9	3
342	1	25	1000	8	2
343	1	72	1240	2	3
344	1	25	910	5	6
345	0	60	700	5	4
346	1	79	1310	7	5
347	0	65	1170	2	5
348	1	87	710	5	4
349	1	41	480	5	0
350	0	35	1130	0	3
351	0	24	1230	5	6
352	0	88	1470	7	0
353	1	77	1440	9	7
354	0	31	340	3	6
355	1	64	890	3	6
356	1	42	720	6	4
357	0	80	1420	0	3
358	0	47	670	6	4
359	0	62	680	2	0
360	0	55	1380	1	3
361	0	25	290	2	0
362	0	52	1250	9	0
363	0	27	940	5	4
364	1	45	1410	3	6
365	1	42	620	5	4
366	1	35	350	2	3
367	0	24	1450	6	6
368	0	87	1490	0	6
369	1	82	720	5	5
370	0	85	1380	3	6
371	1	41	910	7	6
372	1	84	680	1	3
373	1	84	1020	9	4
374	1	63	770	8	6
375	0	62	1350	6	6
376	0	57	1290	0	3
377	0	32	770	0	6
378	0	24	920	0	6
379	0	54	1090	8	1
380	0	44	1230	9	4
381	0	25	590	6	4
382	0	79	160	9	0
383	0	35	1420	5	4
384	0	73	1020	4	6
385	0	66	330	3	5
386	1	29	370	5	3
387	0	68	850	0	3
388	1	88	950	6	4
389	1	62	910	9	1
390	0	38	1130	1	4
391	1	19	910	2	3
392	0	84	470	8	3
393	1	19	830	1	1
394	1	82	1310	9	1
395	0	29	350	0	3
396	0	21	300	0	4
397	1	88	1040	5	5
398	1	30	590	6	4
399	0	59	1020	3	6
400	0	60	540	4	6
401	1	39	1390	4	3
402	1	40	1160	8	5
403	0	44	390	8	5
404	1	63	590	2	6
405	0	47	1240	0	3
406	1	36	450	2	4
407	0	30	510	2	5
408	0	51	500	8	6
409	0	64	680	8	2
410	1	73	1350	8	2
411	1	19	750	5	0
412	0	28	450	9	6
413	0	76	900	2	5
414	0	39	930	3	4
415	1	83	1040	3	6
416	0	63	420	8	6
417	0	87	260	1	6
418	1	65	920	4	3
419	1	71	800	0	6
420	0	32	1010	3	6
421	1	55	970	1	7
422	0	44	390	7	0
423	1	33	750	3	6
424	1	32	160	7	4
425	0	68	910	2	4
426	1	36	160	6	5
427	0	38	300	5	0
428	0	88	1460	9	7
429	1	74	920	0	3
430	0	37	1270	4	6
431	1	74	930	4	7
432	0	79	480	2	6
433	0	61	1050	0	3
434	0	55	1060	9	4
435	0	87	1390	5	0
436	1	27	1330	9	6
437	1	22	1100	5	3
438	1	71	450	0	2
439	1	77	1310	5	0
440	0	43	900	5	0
441	1	20	540	2	1
442	0	51	670	3	4
443	0	73	380	3	6
444	1	53	940	3	6
445	0	42	290	0	4
446	0	32	1160	7	5
447	1	35	1040	0	2
448	1	39	1370	5	6
449	0	19	1270	7	6
450	1	23	770	9	6
451	0	75	380	5	0
452	0	31	1390	4	6
453	0	82	480	3	4
454	0	43	720	3	0
455	0	55	480	5	0
456	1	59	180	7	4
457	1	31	1180	3	1
458	1	75	490	4	0
459	1	77	950	1	7
460	1	87	840	6	3
461	1	73	410	1	1
462	1	83	160	4	7
463	0	27	1370	2	6
464	1	37	1320	7	0
465	1	79	350	4	3
466	0	51	750	1	6
467	1	48	350	1	5
468	0	66	830	2	4
469	0	62	1140	5	5
470	1	57	730	3	6
471	1	81	1300	1	6
472	0	77	790	6	4
473	1	47	450	2	7
474	0	71	690	9	0
475	1	61	800	3	5
476	0	49	800	1	3
477	0	80	630	7	1
478	0	75	1080	6	4
479	0	60	690	6	4
480	0	32	880	2	2
481	0	46	990	7	5
482	1	26	270	6	4
483	0	38	730	3	5
484	0	57	420	3	1
485	0	89	1010	9	5
486	0	34	360	3	0
487	0	80	310	3	0
488	1	86	210	7	6
489	0	41	200	2	5
490	0	72	820	1	6
491	1	82	1190	2	5
492	1	24	970	3	6
493	0	76	1010	6	4
494	1	18	950	9	1
495	0	65	970	8	0
496	1	50	160	2	1
497	1	42	1180	2	3
498	1	37	1420	6	4
499	0	78	1190	3	5
500	1	23	330	9	0
501	1	34	1110	8	7
502	0	61	850	6	6
503	0	20	720	7	0
504	1	87	330	5	0
505	1	60	370	9	7
506	0	41	1030	1	3
507	1	71	720	0	6
508	1	30	1440	0	5
509	1	81	1410	9	6
510	1	87	1150	8	3
511	1	39	1260	4	1
512	0	24	430	6	4
513	0	38	1310	5	0
514	1	61	460	4	6
515	1	42	500	3	6
516	0	32	580	1	4
517	1	73	290	6	6
518	1	24	550	1	3
519	0	44	610	3	6
520	1	71	1280	1	4
521	1	81	1080	7	5
522	0	87	330	7	0
523	0	78	180	7	0
524	1	37	1350	9	1
525	1	37	300	1	4
526	0	25	650	1	0
527	1	28	920	9	7
528	1	73	1480	7	5
529	0	81	190	1	1
530	1	49	1450	7	5
531	0	36	1030	6	6
532	1	78	1110	2	4
533	1	21	1420	9	6
534	1	68	1260	4	6
535	0	64	690	3	6
536	0	66	620	6	4
537	1	63	300	2	0
538	0	47	470	1	4
539	1	70	1300	9	6
540	1	84	540	4	4
541	1	45	150	6	4
542	0	65	730	2	5
543	1	59	560	4	5
544	0	83	500	3	6
545	0	59	320	2	0
546	1	23	1150	8	3
547	1	20	970	9	3
548	0	55	1250	5	6
549	0	56	1200	3	6
550	0	18	310	6	0
551	0	36	900	6	4
552	0	56	620	0	3
553	0	89	610	3	0
554	1	38	1420	8	6
555	0	81	180	1	6
556	0	73	290	4	2
557	0	56	1100	8	5
558	0	81	1480	1	6
559	1	57	810	7	4
560	0	66	1450	0	3
561	1	68	780	9	6
562	1	51	1110	2	4
563	0	68	330	7	4
564	0	48	1470	7	5
565	1	26	670	2	6
566	1	81	280	4	6
567	1	45	1010	8	3
568	1	19	650	7	1
569	1	40	1250	2	3
570	1	64	1340	9	3
571	1	52	660	0	6
572	0	43	1350	4	6
573	0	34	600	5	0
574	0	84	1380	8	0
575	1	19	620	1	3
576	0	54	430	2	2
577	0	31	840	7	5
578	0	77	360	5	0
579	0	85	1350	7	2
580	0	68	740	5	5
581	0	23	180	3	6
582	1	44	590	9	1
583	0	21	220	1	3
584	0	57	270	3	6
585	1	31	560	3	4
586	1	80	1020	6	6
587	1	78	650	3	6
588	1	82	1080	4	6
589	1	60	1050	6	4
590	0	44	810	8	4
591	0	64	660	3	5
592	0	56	480	6	0
593	0	29	1330	4	6
594	0	42	660	7	5
595	1	32	370	9	4
596	1	57	790	4	6
597	1	29	510	0	6
598	0	41	930	7	6
599	1	57	470	8	1
600	0	32	750	0	6
601	1	81	1380	6	2
602	1	66	280	7	2
603	0	63	1260	5	6
604	0	63	870	7	5
605	1	49	170	3	6
606	0	49	480	6	4
607	0	69	720	2	5
608	0	78	550	1	1
609	0	84	160	1	4
610	0	72	500	4	6
611	0	87	850	1	6
612	1	84	480	0	4
613	1	66	340	9	4
614	0	61	970	0	4
615	0	42	450	5	0
616	1	85	1350	2	6
617	0	52	770	3	6
618	0	47	1300	2	5
619	0	63	370	2	2
620	0	77	270	3	6
621	1	80	720	6	6
622	1	52	480	2	7
623	1	40	260	3	4
624	1	57	1020	5	4
625	0	53	1370	2	3
626	0	23	1040	0	4
627	1	62	1170	5	4
628	0	73	1190	7	6
629	1	50	1390	6	2
630	1	42	350	1	7
631	1	85	860	0	6
632	1	35	560	6	4
633	0	34	920	5	6
634	1	44	450	8	7
635	0	50	820	7	3
636	1	42	310	5	4
637	0	42	810	6	4
638	0	68	590	3	6
639	1	75	810	0	4
640	1	53	700	8	3
641	0	22	1440	0	3
642	0	60	790	3	6
643	1	68	210	8	2
644	1	28	1390	8	2
645	1	72	1270	0	3
646	0	19	730	4	4
647	0	52	500	0	3
648	0	60	790	9	6
649	0	73	900	7	4
650	0	50	300	7	0
651	1	33	650	4	6
652	0	36	1050	6	0
653	1	61	300	3	7
654	1	63	900	9	0
655	1	79	770	1	2
656	0	67	1410	9	7
657	0	23	1270	5	0
658	1	51	170	4	2
659	1	72	670	5	5
660	0	38	1410	8	1
661	0	33	1030	8	6
662	1	29	1460	7	6
663	1	30	1150	1	3
664	1	62	290	0	3
665	0	79	790	7	5
666	0	18	1210	5	6
667	0	45	1160	3	6
668	0	75	540	6	4
669	0	49	970	5	0
670	0	24	1180	4	6
671	1	40	1140	4	6
672	1	39	720	3	6
673	0	72	560	6	6
674	0	85	230	9	4
675	1	79	450	5	7
676	0	52	190	3	6
677	1	24	720	8	6
678	1	86	450	4	2
679	1	35	1480	0	4
680	1	19	1160	0	4
681	1	19	1340	1	1
682	1	58	220	6	5
683	0	66	300	0	0
684	1	49	160	2	5
685	1	70	630	0	3
686	0	58	1460	4	6
687	1	67	1190	6	4
688	1	47	230	7	5
689	1	84	940	4	6
690	0	39	1280	7	5
691	1	87	1030	4	6
692	1	75	250	9	0
693	1	48	750	8	6
694	0	19	170	7	0
695	0	48	900	9	6
696	1	62	450	0	3
697	0	40	1380	7	3
698	0	49	940	8	0
699	1	20	160	1	2
700	0	76	340	5	4
701	1	65	1080	8	2
702	0	58	1370	2	6
703	0	53	1420	0	3
704	0	19	1470	9	0
705	0	22	1070	2	5
706	0	59	390	3	6
707	0	43	1090	6	7
708	0	31	1030	5	4
709	1	32	300	3	4
710	0	40	1160	0	3
711	1	57	610	4	5
712	1	39	710	4	6
713	1	27	690	7	6
714	1	54	1210	0	3
715	1	53	550	3	3
716	0	39	1310	1	4
717	1	84	380	5	0
718	0	64	470	4	0
719	1	34	240	9	7
720	0	70	410	6	4
721	0	29	170	8	0
722	1	84	260	6	4
723	1	51	570	5	5
724	0	74	1350	1	3
725	0	66	790	4	2
726	1	64	1370	5	5
727	0	24	1230	0	2
728	1	51	430	1	4
729	0	69	810	7	3
730	0	79	350	8	3
731	0	75	1070	5	4
732	1	86	420	3	6
733	1	22	680	8	3
734	0	70	330	5	4
735	1	71	1370	6	6
736	1	33	540	9	2
737	0	82	1140	7	3
738	1	52	440	1	1
739	1	41	600	1	4
740	1	72	1120	1	2
741	0	30	220	9	4
742	0	73	190	5	5
743	1	24	540	3	6
744	1	27	300	6	4
745	1	18	180	5	4
746	0	27	1250	3	6
747	1	34	360	5	0
748	1	68	600	2	2
749	1	83	1000	8	6
750	0	83	350	6	4
751	1	39	890	5	5
752	1	85	870	9	5
753	0	52	1260	3	6
754	1	49	740	6	6
755	0	23	390	8	6
756	1	64	1070	9	3
757	0	30	1430	3	6
758	0	65	1180	8	0
759	0	20	1460	9	2
760	0	30	300	5	6
761	0	45	810	7	5
762	1	24	1410	9	4
763	1	36	1150	0	6
764	1	87	470	2	5
765	1	23	1430	4	6
766	0	52	550	1	6
767	1	64	890	8	6
768	1	59	1280	6	1
769	1	35	340	6	5
770	1	70	410	1	0
771	1	72	710	7	2
772	1	28	760	3	6
773	1	40	1250	3	6
774	1	39	1240	4	6
775	1	63	940	6	4
776	1	51	530	5	4
777	0	50	1030	8	6
778	0	53	1080	7	5
779	1	51	400	0	4
780	1	53	380	2	2
781	1	50	1230	5	3
782	1	83	1300	7	2
783	1	61	620	1	3
784	0	41	1360	4	6
785	1	27	1480	8	2
786	1	40	280	4	4
787	0	25	1370	4	6
788	1	45	760	3	4
789	0	49	780	6	4
790	1	77	1340	0	2
791	1	64	200	8	4
792	0	49	1390	1	5
793	1	46	430	0	2
794	0	49	620	4	6
795	1	57	330	0	0
796	1	77	1130	4	6
797	0	36	790	9	7
798	0	82	1320	3	6
799	0	64	900	5	6
800	1	39	1220	8	7
801	0	45	1350	3	6
802	0	36	1130	7	5
803	0	42	510	8	4
804	0	19	1190	4	6
805	1	72	980	0	3
806	0	30	920	6	4
807	1	35	1210	2	3
808	0	87	1210	2	3
809	0	28	1160	6	4
810	1	88	1470	7	6
811	0	52	1060	0	6
812	0	46	710	5	4
813	1	72	1150	9	3
814	0	74	460	4	4
815	1	74	900	7	5
816	1	67	160	6	4
817	0	77	380	0	4
818	1	35	560	4	4
819	0	44	1110	1	6
820	0	79	350	2	0
821	0	30	680	1	3
822	0	59	1470	0	3
823	0	87	290	9	0
824	0	42	710	2	4
825	1	32	1260	6	4
826	0	44	1100	3	6
827	0	43	580	2	1
828	0	75	550	5	0
829	0	35	640	3	5
830	0	19	660	2	0
831	0	30	1330	3	3
832	1	76	1380	0	3
833	0	69	1230	2	5
834	1	88	1450	7	0
835	0	37	440	5	0
836	1	70	1100	5	0
837	0	85	660	4	4
838	1	30	280	6	5
839	1	53	480	6	4
840	0	20	960	0	7
841	0	45	890	8	2
842	1	59	210	8	7
843	0	70	740	1	5
844	1	54	1110	2	6
845	0	27	620	0	1
846	0	43	1290	8	3
847	0	62	200	2	5
848	0	72	1230	9	6
849	1	86	400	4	4
850	1	37	900	5	6
851	1	20	940	1	3
852	0	23	1300	7	5
853	0	73	680	7	0
854	0	77	1360	5	6
855	0	72	330	3	4
856	0	27	940	0	6
857	1	68	750	5	3
858	0	58	660	3	6
859	0	60	1450	0	6
860	1	87	750	8	4
861	0	51	1410	2	5
862	0	53	610	6	4
863	1	64	200	1	3
864	1	31	240	1	3
865	0	31	710	5	6
866	1	70	1200	6	1
867	1	30	1020	8	2
868	0	46	230	6	4
869	0	39	1450	6	4
870	0	22	840	5	6
871	1	38	990	4	6
872	0	71	840	1	3
873	1	83	1190	5	3
874	0	40	660	2	3
875	0	78	420	4	0
876	0	85	1370	7	1
877	0	39	1250	8	6
878	1	85	860	0	5
879	0	23	530	3	6
880	1	38	1400	9	7
881	0	48	1010	3	6
882	0	33	620	8	4
883	0	34	750	7	6
884	0	60	1020	3	1
885	0	61	440	5	0
886	1	62	1050	8	6
887	1	60	190	5	0
888	0	84	270	6	4
889	1	74	670	0	2
890	1	53	1400	3	6
891	1	82	880	8	1
892	0	24	270	4	4
893	0	26	150	8	5
894	0	37	1130	9	4
895	1	26	170	8	6
896	1	44	1300	1	4
897	0	19	860	7	3
898	1	55	1430	8	4
899	1	81	890	8	3
900	1	56	1240	5	1
901	0	22	830	1	3
902	0	42	960	7	6
903	1	82	820	0	7
904	0	62	1370	7	5
905	1	58	1090	9	7
906	0	31	1300	9	1
907	1	76	390	0	4
908	1	18	420	2	1
909	1	34	1280	3	6
910	1	44	940	5	4
911	0	21	1180	8	6
912	1	89	710	9	6
913	0	31	560	2	5
914	0	37	320	9	0
915	0	27	440	8	2
916	0	45	570	2	5
917	1	64	760	3	1
918	0	47	580	0	4
919	1	62	1350	6	6
920	1	50	570	7	6
921	0	80	1260	0	3
922	1	30	1440	1	5
923	1	19	1230	3	1
924	0	77	1180	2	2
925	0	36	1450	5	5
926	1	53	810	4	5
927	1	66	1050	9	7
928	0	70	440	3	0
929	0	41	1340	4	6
930	0	42	1050	7	7
931	1	38	1220	3	6
932	0	50	1000	1	3
933	1	34	930	8	3
934	0	53	750	5	6
935	1	72	380	3	1
936	0	57	360	2	0
937	1	57	960	6	4
938	1	68	1060	4	6
939	0	79	450	2	4
940	0	20	290	7	3
941	1	30	1180	2	3
942	1	76	1020	8	2
943	1	33	1210	5	3
944	0	86	980	8	5
945	0	64	160	6	5
946	1	72	1340	3	6
947	1	41	570	3	4
948	1	75	610	5	6
949	1	89	900	7	1
950	1	52	980	0	5
951	0	39	790	6	4
952	1	32	250	5	0
953	0	86	1220	8	3
954	0	82	650	6	6
955	0	62	780	7	5
956	0	89	550	3	0
957	1	43	690	8	6
958	0	23	940	4	6
959	0	82	1230	2	3
960	1	81	820	6	4
961	1	63	660	9	1
962	0	55	1210	3	1
963	0	18	1270	7	3
964	0	24	450	4	4
965	1	20	830	0	3
966	1	50	450	5	0
967	1	18	1350	9	6
968	1	45	340	5	4
969	0	86	1260	2	5
970	0	29	970	9	6
971	0	24	270	5	0
972	1	50	590	2	5
973	0	63	800	1	5
974	1	55	860	0	4
975	0	24	930	4	5
976	0	34	440	9	6
977	1	44	1070	8	5
978	1	25	850	4	2
979	0	20	380	6	0
980	1	75	940	3	6
981	1	40	290	5	2
982	0	50	690	4	3
983	0	28	420	4	0
984	0	23	320	4	6
985	0	20	1430	6	1
986	0	21	1490	5	4
987	1	73	660	6	4
988	1	66	440	2	5
989	1	25	1260	7	3
990	0	20	620	4	6
991	0	75	1250	8	6
992	0	53	150	3	6
993	1	71	890	7	2
994	1	74	430	6	0
995	1	88	1170	6	6
996	0	29	880	6	4
997	0	28	230	2	4
998	0	65	880	6	4
999	0	38	290	1	3
1000	0	57	1440	1	6
1001	1	68	330	4	0
1002	0	66	340	9	2
1003	1	77	950	1	5
1004	0	41	950	3	1
1005	1	57	360	1	0
1006	1	85	1370	3	6
1007	1	86	380	1	5
1008	0	29	1010	8	6
1009	0	73	710	3	6
1010	1	75	150	6	4
1011	1	61	890	0	5
1012	1	69	1110	3	4
1013	1	78	1420	9	6
1014	1	24	230	2	5
1015	0	29	1330	1	5
1016	1	53	450	9	2
1017	1	59	590	1	3
1018	1	51	410	9	3
1019	1	51	490	1	3
1020	1	71	1070	1	3
1021	1	26	370	0	4
1022	1	86	1130	1	6
1023	1	18	160	4	1
1024	0	43	460	5	0
1025	0	69	650	2	5
1026	1	24	200	1	4
1027	0	65	1170	3	6
1028	1	65	1490	9	4
1029	0	20	1020	3	6
1030	1	75	1070	6	3
1031	1	89	520	8	4
1032	1	49	550	3	2
1033	0	46	1140	9	7
1034	1	60	870	6	4
1035	0	45	350	8	5
1036	0	65	450	4	6
1037	0	38	510	9	2
1038	0	42	340	1	1
1039	1	50	880	4	4
1040	1	66	1030	4	6
1041	1	86	520	5	0
1042	0	27	300	6	0
1043	0	31	380	8	0
1044	0	68	830	0	3
1045	0	57	450	4	5
1046	1	86	490	5	4
1047	1	57	210	2	4
1048	1	33	490	9	7
1049	0	74	1120	3	6
1050	0	23	950	4	6
1051	0	33	1370	3	5
1052	1	23	150	1	3
1053	1	30	1210	3	6
1054	1	48	1190	7	5
1055	0	76	230	9	5
1056	1	52	1110	2	6
1057	1	47	1370	3	6
1058	0	77	270	3	1
1059	0	40	1050	3	3
1060	0	18	690	9	3
1061	0	66	1210	8	5
1062	1	22	220	5	4
1063	1	54	160	8	5
1064	0	73	1080	1	3
1065	1	19	480	1	1
1066	0	65	530	3	1
1067	0	73	670	1	3
1068	0	84	890	9	7
1069	0	57	610	4	1
1070	0	72	1260	8	2
1071	1	35	1220	4	1
1072	1	28	950	2	2
1073	0	62	890	9	0
1074	0	86	740	4	6
1075	0	40	1100	2	0
1076	1	88	1030	7	5
1077	1	52	990	9	7
1078	0	35	790	4	6
1079	1	50	270	8	5
1080	1	41	970	4	2
1081	0	47	1350	6	6
1082	0	58	360	5	0
1083	0	64	480	3	4
1084	0	77	470	2	4
1085	1	51	1090	4	6
1086	1	24	1140	0	3
1087	1	88	640	9	6
1088	0	82	1030	2	5
1089	0	49	830	7	5
1090	1	81	290	7	0
1091	0	64	940	6	6
1092	0	46	1010	2	0
1093	1	62	220	7	2
1094	0	74	1350	2	5
1095	0	51	160	8	0
1096	1	73	840	5	2
1097	1	53	490	4	1
1098	1	69	220	8	2
1099	0	87	1370	7	6
1100	1	58	770	0	3
1101	0	44	170	2	4
1102	0	67	460	1	4
1103	0	79	310	5	5
1104	1	66	830	3	4
1105	0	33	240	3	4
1106	1	43	1090	1	6
1107	1	83	520	2	4
1108	0	83	1110	5	0
1109	0	84	940	6	1
1110	0	85	170	1	3
1111	1	36	170	0	1
1112	1	34	640	3	6
1113	0	48	890	0	3
1114	0	83	1120	8	4
1115	1	26	650	5	4
1116	1	63	960	5	6
1117	1	28	1060	7	1
1118	0	61	990	7	6
